Work ID,Publishing Name,Singer,Title,Composer,Genre,Label Musik,Share Composer,Share Publishing,ISRC,Release Year,Youtube link (if Any)
JQcom01,JQ Composey,Astero Band,Kepastian Cinta,Jajang Hidayat,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=9MImmRSras4
JQcom02,JQ Composey,Astero Band,Khianati Aku,Jajang Hidayat,POP,BIG Records,50,50,,2020,
JQcom03,JQ Composey,Ayank Wulan,Kisah ku,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom04,JQ Composey,Balvant,Prolog,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom05,JQ Composey,Balvant,Drama Pertemuan,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom06,JQ Composey,Balvant,Rise and War,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom07,JQ Composey,Cici Lulu and Granada’s,Jarak dan Waktu,Cici Supriatin,POP,BIG Records,50,50,,2020,
JQcom08,JQ Composey,DEVANKA,Serpihan Hati,Setia Aji,POP,BIG Records,50,50,,2020,
JQcom09,JQ Composey,DEVANKA,Pengertian Cinta,Setia Aji dan Muldan Wijaya Putra,POP,BIG Records,25,50,,2020,
JQcom10,JQ Composey,Erik Mildan,Selamat Pagi Indonesia,Dias Alfian Nugraha,POP,BIG Records,50,50,,2020,
JQcom11,JQ Composey,HUE,Biar Saja,Yuda Tri Sangra,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=5ONnUWxkfe8
JQcom12,JQ Composey,Iqbal Irvana,Walau Patah Hati,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom13,JQ Composey,Isa Angkama,Ikrar,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom14,JQ Composey,Ngiler,Alien,Muhammad Ramonsyah,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=9tNrpV2vjIU
JQcom15,JQ Composey,Ngiler,My Name Is Ay,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
